Id,Sales
1,4006.58544921875
2,7354.8955078125
3,8978.455078125
4,7822.14453125
5,6944.03466796875
6,5711.97705078125
7,7390.64697265625
8,7981.4189453125
9,5184.69140625
10,5631.5537109375
11,6824.00390625
12,7678.28271484375
13,7282.14599609375
14,8840.734375
15,5553.978515625
16,4718.87890625
17,5439.12744140625
18,9286.9375
19,10170.37890625
20,9916.6396484375
21,7419.265625
22,4490.7939453125
23,5696.08447265625
24,4123.4853515625
25,7447.9736328125
26,10866.794921875
27,9294.876953125
28,5700.650390625
29,4999.85205078125
30,4440.39013671875
31,5781.95556640625
32,10215.25390625
33,6507.4033203125
34,5270.40966796875
35,5105.7607421875
36,7978.56494140625
37,3576.620361328125
38,7363.68359375
39,4304.9130859375
40,7101.8125
41,6818.72705078125
42,5311.2470703125
43,8363.6494140625
44,6812.83740234375
45,4853.75927734375
46,6617.4091796875
47,7587.6220703125
48,11499.099609375
49,5754.02880859375
50,7931.5078125
51,6935.33056640625
52,8586.64453125
53,6288.880859375
54,9304.0478515625
55,4673.255859375
56,4895.5791015625
57,6064.09326171875
58,5877.748046875
59,8933.865234375
60,7770.68603515625
61,5612.27587890625
62,7439.28369140625
63,6671.83740234375
64,10170.4375
65,3943.264892578125
66,12688.537109375
67,4845.8115234375
68,6015.64892578125
69,8336.953125
70,4708.47900390625
71,6474.54052734375
72,6110.7529296875
73,7365.41845703125
74,5613.76416015625
75,5520.40869140625
76,7483.19970703125
77,7499.44091796875
78,6956.2587890625
79,4884.5478515625
80,7061.0498046875
81,11048.744140625
82,6395.87646484375
83,4386.59521484375
84,6463.384765625
85,5908.9345703125
86,5745.24853515625
87,7534.93896484375
88,3909.988525390625
89,8012.00439453125
90,5845.75537109375
91,6764.216796875
92,6783.47021484375
93,4073.362060546875
94,5761.32177734375
95,5165.10009765625
96,8013.677734375
97,7762.97412109375
98,5071.90869140625
99,4867.70556640625
100,7017.45556640625
101,5777.2861328125
102,6355.7392578125
103,7036.181640625
104,6315.43212890625
105,7469.81494140625
106,5666.8369140625
107,4193.7177734375
108,7068.65087890625
109,7957.02001953125
110,8093.580078125
111,8208.96875
112,7603.74169921875
113,5523.4111328125
114,8658.869140625
115,5720.66796875
116,7035.4833984375
117,8726.1484375
118,6118.46337890625
119,10114.0517578125
120,7347.484375
121,7514.1259765625
122,5925.234375
123,7105.267578125
124,7946.18994140625
125,6517.03125
126,3766.07666015625
127,5333.6259765625
128,7651.9560546875
129,5339.95849609375
130,4457.70947265625
131,8271.1513671875
132,6567.2880859375
133,5440.83935546875
134,6368.8408203125
135,5303.0615234375
136,7233.1494140625
137,7170.54443359375
138,6971.5693359375
139,5642.4580078125
140,4933.63525390625
141,6175.6943359375
142,3743.9970703125
143,5891.21875
144,5525.48193359375
145,8269.794921875
146,7173.9990234375
147,6169.759765625
148,12025.55859375
149,5003.4873046875
150,5296.8583984375
151,10300.0263671875
152,6807.9912109375
153,8283.095703125
154,7090.86767578125
155,5928.34912109375
156,6141.21337890625
157,5366.62841796875
158,8358.8173828125
159,10912.37890625
160,6028.9013671875
161,3081.8193359375
162,4496.6064453125
163,8945.435546875
164,8715.93359375
165,6003.451171875
166,6869.44921875
167,4935.93212890625
168,5409.8779296875
169,3416.91650390625
170,5136.36865234375
171,6186.353515625
172,7237.373046875
173,6947.94384765625
174,8385.5361328125
175,7834.0830078125
176,9265.1376953125
177,7560.279296875
178,4879.48583984375
179,8961.0712890625
180,9932.1162109375
181,5950.49462890625
182,7441.70361328125
183,5451.634765625
184,6343.3056640625
185,4051.3515625
186,6763.55859375
187,5312.25537109375
188,9031.025390625
189,7217.33349609375
190,8132.99169921875
191,7554.5849609375
192,5632.43994140625
193,8465.2041015625
194,18340.25
195,9934.484375
196,5595.81201171875
197,2933.3955078125
198,5892.5673828125
199,8108.8173828125
200,5573.86474609375
201,12534.6123046875
202,18253.0
203,4200.67236328125
204,5350.966796875
205,9035.9365234375
206,4871.6728515625
207,8527.431640625
208,6669.1142578125
209,7447.20654296875
210,4974.43017578125
211,6163.53076171875
212,5630.876953125
213,7357.90576171875
214,9274.8095703125
215,6185.6279296875
216,5782.8212890625
